"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2447674","Guy  Hoffman and Keinan  Vanunu","","","","Effects of Robotic Companionship on Music Enjoyment and Agent Perception","317--324","","8","cloud robotics, entertainment robots, human-robot interaction, musical robots, robotic companions, robotic experience companionship, smartphone robotics","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","288992","David J. Cloud and Larry  Rainey","","","","Applied Modeling and Simulation: A New Reference Text with a Systems Engineering Approach to M&Amp;S Development","34--38","","5","mission development, reference, system development, system engineering, text","","Trans. Soc. Comput. Simul. Int.","March 1998","15","1","","March","1998","0740-6797","","","","","","Society for Computer Simulation International","San Diego, CA, USA"
"article","2212144","E.  Rimon and R.  Mason and J. W. Burdick and Y.  Or","","","","A General Stance Stability Test Based on Stratified Morse Theory With Application to Quasi-Static Locomotion Planning","626--641","","16","Posture stability, quasistatic locomotion, stance stability, stratified Morse theory","10.1109/TRO.2008.919287","Trans. Rob.","June 2008","24","3","","June","2008","1552-3098","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2331657","Edward J. Rothwell and Michael J. Cloud","","","","Automatic Error Analysis Using Intervals","9--15","","7","","10.1109/TE.2011.2109722","IEEE Trans. on Educ.","February 2012","55","1","","February","2012","0018-9359","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1349840","Ja-Young  Sung and Rebecca E. Grinter and Henrik I. Christensen and Lan  Guo","","","","Housewives or Technophiles?: Understanding Domestic Robot Owners","129--136","","8","domestic robot, user study","10.1145/1349822.1349840","","","","","","","2008","","Proceedings of the 3rd ACM/IEEE International Conference on Human Robot Interaction","HRI '08","","978-1-60558-017-3","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","2906978","Kangwei  Chen and Victoria  Plaza-Leiva and Byung-Cheol  Min and Aaron  Steinfeld and Mary Bernardine  Dias","","","","NavCue: Context Immersive Navigation Assistance for Blind Travelers","559--559","","1","assistive robots, blind and low vision, context immersive navigation, human-robot interaction","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"article","2737756","Moshe  Caine and Eyal  Tagar and Idit Ben Or","","","","Unfolding Communities: Imaging the Past, Envisioning the Future","150--157","","8","3D, Community, Culture, Heritage, Imaging, Photography, RTI, Virtual Reality","10.14236/ewic/eva2014.18","","","","","","","2014","","Proceedings of the EVA London 2014 on Electronic Visualisation and the Arts","EVA London 2014","","978-1-78017-285-9","London, UK","BCS","UK"
"article","2820289","Roberto  Minelli and Andrea Mocci and and Michele  Lanza","","","","I Know What You Did Last Summer: An Investigation of How Developers Spend Their Time","25--35","","11","","","","","","","","","2015","","Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension","ICPC '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2185541","Cloud  Shao and Adrien  Bousseau and Alla  Sheffer and Karan  Singh","","","","CrossShade: Shading Concept Sketches Using Cross-section Curves","45:1--45:11","45","11","cross-sections, non-photorealistic rendering, product design, sketch-based modeling, sketching","10.1145/2185520.2185541","ACM Trans. Graph.","July 2012","31","4","","July","2012","0730-0301","","","","","","ACM","New York, NY, USA"
"article","2104655","Refael  Hassin and Einat  Or","","","","Min Sum Clustering with Penalties","167--178","","12","","10.1007/11561071_17","","","","","","","2005","","Proceedings of the 13th Annual European Conference on Algorithms","ESA'05","","3-540-29118-0, 978-3-540-29118-3","Palma de Mallorca, Spain","Springer-Verlag","Berlin, Heidelberg"
"article","2377611","Jane  Shi and Roland  Menassa","","","","Transitional or Partnership Human and Robot Collaboration for Automotive Assembly","187--194","","8","automotive assembly, human robot collaboration, industrial robots","10.1145/2377576.2377611","","","","","","","2010","","Proceedings of the 10th Performance Metrics for Intelligent Systems Workshop","PerMIS '10","","978-1-4503-0290-6","Baltimore, Maryland","ACM","New York, NY, USA"
"article","2773538","Jacob  Menashe and Peter  Stone","","","","Monte Carlo Hierarchical Model Learning: (Doctoral Consortium)","1985--1986","","2","factored domains, hierarchical skill learning, model learning, monte carlo methods, reinforcement learning, single and multi-agent learning techniques","","","","","","","","2015","","Proceedings of the 2015 International Conference on Autonomous Agents and Multiagent Systems","AAMAS '15","","978-1-4503-3413-6","Istanbul, Turkey","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","1470596","Michael Ben Or and Avinatan  Hassidim and Haran  Pilpel","","","","Quantum Multi Prover Interactive Proofs with Communicating Provers","467--476","","10","quantum, multi prover, interactive proofs","10.1109/FOCS.2008.57","","","","","","","2008","","Proceedings of the 2008 49th Annual IEEE Symposium on Foundations of Computer Science","FOCS '08","","978-0-7695-3436-7","","IEEE Computer Society","Washington, DC, USA"
"article","1827843","Yaroslav  Litus and Richard T. Vaughan","","","","Fall in! Sorting a Group of Robots with a Continuous Controller","269--276","","8","Path Planning for Multiple Mobile Robots or Agents, Reactive and Sensor-Based Planning, Distributed Robot Systems","10.1109/CRV.2010.42","","","","","","","2010","","Proceedings of the 2010 Canadian Conference on Computer and Robot Vision","CRV '10","","978-0-7695-4040-5","","IEEE Computer Society","Washington, DC, USA"
"article","1244202","Taesoo Jun and and Christine  Julien","","","","Automated Routing Protocol Selection in Mobile Ad Hoc Networks","906--913","","8","MANET, protocol model, routing protocol selection, target deployment","10.1145/1244002.1244202","","","","","","","2007","","Proceedings of the 2007 ACM Symposium on Applied Computing","SAC '07","","1-59593-480-4","Seoul, Korea","ACM","New York, NY, USA"
"book","1841468","Tadej  Bajd and Matjaz  Mihelj and Jadran  Lenarcic and Ales  Stanovnik and Marko  Munih","","","","","","","","","","","","","","","","2010","","Robotics","","1st","9048137756, 9789048137756","","Springer Publishing Company, Incorporated",""
"article","2040549","Gwo-Dong  Chen and Nurkhamid  Nurkhamid and Chin-Yeh  Wang","","","","A Survey on Storytelling with Robots","450--456","","7","educational robot, robots, storytelling","","","","","","","","2011","","Proceedings of the 6th International Conference on E-learning and Games, Edutainment Technologies","Edutainment'11","","978-3-642-23455-2","Taipei, Taiwan","Springer-Verlag","Berlin, Heidelberg"
"article","3012497","Miguel &#193;. Conde and Camino  Fern&#225;ndez and Francisco J. Rodr&#237;guez-Lera and Francisco J. Rodr&#237;guez-Sedano and Vicente  Matell&#225;n and Francisco J. Garc&#237;a-Pe&#241;alvo","","","","Analysing the Attitude of Students Towards Robots when Lectured on Programming by Robotic or Human Teachers","59--65","","7","educational robotics, human robot interaction, learning, social robotics","10.1145/3012430.3012497","","","","","","","2016","","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '16","","978-1-4503-4747-1","Salamanca, Spain","ACM","New York, NY, USA"
"book","2361570","Tadej  Bajd and Matjaz  Mihelj and Jadran  Lenarcic and Ales  Stanovnik and Marko  Munih","","","","","","","","","","","","","","","","2012","","Robotics","","","9400731574, 9789400731578","","Springer Publishing Company, Incorporated",""
"article","1121313","Daisuke  Sakamoto and Tetsuo  Ono","","","","Sociality of Robots: Do Robots Construct or Collapse Human Relations?","355--356","","2","robotic social psychology","10.1145/1121241.1121313","","","","","","","2006","","Proceedings of the 1st ACM SIGCHI/SIGART Conference on Human-robot Interaction","HRI '06","","1-59593-294-1","Salt Lake City, Utah, USA","ACM","New York, NY, USA"
"article","2906998","Timea  Bagosi and Koen V. Hindriks and Mark A. Neerincx","","","","Ontological Reasoning for Human-Robot Teaming in Search and Rescue Missions","595--596","","2","knowledge representation and reasoning, multi-agent system, ontology engineering, search&#38;rescue, situation awareness","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"article","2887437","Calvin  Or and Da  Tao","","","","A 3-Month Randomized Controlled Pilot Trial of a Patient-Centered, Computer-Based Self-Monitoring System for the Care of Type 2 Diabetes Mellitus and Hypertension","1--13","","13","Consumer health information technology, Hypertension, Randomized controlled trial, Self-monitoring, Type 2 diabetes mellitus","10.1007/s10916-016-0437-1","J. Med. Syst.","April     2016","40","4","","April","2016","0148-5598","","","","","","Plenum Press","New York, NY, USA"
"article","1703493","Sumeet S. Aphale and Antoine  Ferreira and S. O. Reza Moheimani","","","","Loop-shaping H{$\infty$}-control of a 2-DOF Piezoelectric-stack Actuated Platform for Nanoscale Positioning","350--355","","6","","","","","","","","","2009","","Proceedings of the 2009 IEEE International Conference on Robotics and Automation","ICRA'09","","978-1-4244-2788-8","Kobe, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2771360","Daniel Cohen  Or and Shachar  Fleishman","","","","An Incremental Alignment Algorithm for Parallel Volume Rendering","123--133","","11","Distributed Memory, Parallel Algorithms, Parallel Rendering, Ray Casting, Volume Rendering","10.1111/j.1467-8659.1995.cgf143_0123.x","Comput. Graph. Forum","August 1995","14","3","","August","1995","0167-7055","","","","","","The Eurographs Association &#38; John Wiley &#38; Sons, Ltd.","Chichester, UK"
"article","2943409","Calvin  Or","","","","Pre-Implementation Case Studies Evaluating Workflow and Informatics Challenges in Private Primary Care Clinics for Electronic Medical Record Implementation","56--64","","9","Electronic Medical Records, Implementation, Primary Care, Workflow","10.4018/IJHISI.2015100104","Int. J. Healthc. Inf. Syst. Inform.","October 2015","10","4","","October","2015","1555-3396","","","","","","IGI Global","Hershey, PA, USA"
"article","1069582","  Logic and Computation Group","","","","Time in Liverpool  An Overview of Temporal Research in the Logic and Computation Group","204--206","","3","","10.1109/TIME.2005.38","","","","","","","2005","","Proceedings of the 12th International Symposium on Temporal Representation and Reasoning","TIME '05","","0-7695-2370-6","","IEEE Computer Society","Washington, DC, USA"
"article","2771364","Daniel Cohen  Or and Amit  Shaked","","","","Visibility and Dead-Zones in Digital Terrain Maps","171--180","","10","Digital Terrain Maps, Discrete Lines, GIS, Terrain Modeling, Visibility Maps","10.1111/j.1467-8659.1995.cgf143_0171.x","Comput. Graph. Forum","August 1995","14","3","","August","1995","0167-7055","","","","","","The Eurographs Association &#38; John Wiley &#38; Sons, Ltd.","Chichester, UK"
"article","3061469","O.  Litany and E.  Rodol&#224; and A. M. Bronstein and M. M. Bronstein and D.  Cremers","","","","Non-rigid Puzzles","135--143","","9","","10.1111/cgf.12970","","","","","","","2016","","Proceedings of the Symposium on Geometry Processing","SGP '16","","","Berlin, Germany","Eurographics Association","Goslar Germany, Germany"
"article","2980519","Junya  Nakanishi and Hidenobu  Sumioka and Hiroshi  Ishiguro","","","","Can Children Anthropomorphize Human-shaped Communication Media?: A Pilot Study on Co-sleeping with a Huggable Communication Medium","103--106","","4","a huggable communication medium, child life, mediated intimate interaction, mental states","10.1145/2974804.2980519","","","","","","","2016","","Proceedings of the Fourth International Conference on Human Agent Interaction","HAI '16","","978-1-4503-4508-8","Biopolis, Singapore","ACM","New York, NY, USA"
"article","2799645","Oded  Goldreich and Or  Meir","","","","Input-Oblivious Proof Systems and a Uniform Complexity Perspective on P/Poly","16:1--16:13","16","13","BPP, E, EXP, IP, MA, NE, NEXP, NP, P/poly, PCP, RP, ZK","10.1145/2799645","ACM Trans. Comput. Theory","September 2015","7","4","","August","2015","1942-3454","","","","","","ACM","New York, NY, USA"
"article","2860161","Nawwaf  Kharma and Mohammad  Ebne-Alian and Louis  Charbonneau","","","","Evolution of Programs for Segmentation of Microscopic Images","253--260","","8","Biomedical Image Segmentation, Genetic Algorithms or Programming, Microscopic Images of Cells or Nuclei","10.1109/CRV.2015.40","","","","","","","2015","","Proceedings of the 2015 12th Conference on Computer and Robot Vision","CRV '15","","978-1-4799-1986-4","","IEEE Computer Society","Washington, DC, USA"
"article","1332401","Or  Kaynar and Yair  Amichai-Hamburger","","","","The Effects of Need for Cognition on Internet Use Revisited","361--371","","11","Internet, Need for Cognition, Personality","10.1016/j.chb.2007.01.033","Comput. Hum. Behav.","March, 2008","24","2","","March","2008","0747-5632","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"book","2016706","John-David  Warren and Josh  Adams and Harald  Molle","","","","","","","","","","","","","","","","2011","","Arduino Robotics","","1st","1430231831, 9781430231837","","Apress","Berkely, CA, USA"
"book","2602453","Robin R. Murphy","","","","","","","","","","","","","","","","2014","","Disaster Robotics","","","0262027356, 9780262027359","","The MIT Press",""
"book","2568143","Gianluca  Antonelli","","","","","","","","","","","","","","","","2013","","Underwater Robots","","3rd","3319028766, 9783319028767","","Springer Publishing Company, Incorporated",""
"article","2818347","Kerstin  Dautenhahn","","","","Interaction Studies with Social Robots","3--3","","1","companion robots, human-robot interaction, social robots","10.1145/2818346.2818347","","","","","","","2015","","Proceedings of the 2015 ACM on International Conference on Multimodal Interaction","ICMI '15","","978-1-4503-3912-4","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2819922","Carman  Neustaedter and Gina  Venolia and Jason  Procyk and Daniel  Hawkins","","","","To Beam or Not to Beam: A Study of Remote Telepresence Attendance at an Academic Conference","418--431","","14","Telepresence, academic conferences, robots","10.1145/2818048.2819922","","","","","","","2016","","Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing","CSCW '16","","978-1-4503-3592-8","San Francisco, California, USA","ACM","New York, NY, USA"
"article","1979781","Suleman  Shahid and Emiel  Krahmer and Marc  Swerts","","","","Child-robot Interaction: Playing Alone or Together?","1399--1404","","6","child-robot interaction, children, fun, games, robot, social presence","10.1145/1979742.1979781","","","","","","","2011","","CHI '11 Extended Abstracts on Human Factors in Computing Systems","CHI EA '11","","978-1-4503-0268-5","Vancouver, BC, Canada","ACM","New York, NY, USA"
"book","523499","Bill  Davies","","","","","","","","","","","","","","","","1997","","Practical Robotics","","","096818300X","","Werd Technology, Incorporated",""
"book","526142","  Central Computing and Telecommunications Agency Sta","","","","","","","","","","","","","","","","1995","","3GL Program Design in an SSADM Environment","","","1855547066","","Blackwell Publishers, Inc.","Cambridge, MA, USA"
"book","548305","  IEEE, Industrial Electronics, Robotics and Automation Society Staff","  IEEE, Institute of Electrical and Electronics Engineers, Inc. Staff","","","","","","","","","","","","","","","1996","","1996 International Conference on Intelligent Robots and Systems Proceedings","","","0780332156","","IEEE Press","Piscataway, NJ, USA"
"article","2844701","Nathan  Sprague and Ralph  Grove","","","","Teaching Robotics Using ROS (Abstract Only)","719--719","","1","robotics, ros","10.1145/2839509.2844701","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","1482334","Hamidreza  Chitsaz and Steven M. Lavalle and Devin J. Balkcom and Matthew T. Mason","","","","Minimum Wheel-Rotation Paths for Differential-Drive Mobile Robots","66--80","","15","differential drive, mobile robot, nonholonomic constraints, optimal control, shortest paths (or geodesics)","10.1177/0278364908096750","Int. J. Rob. Res.","January   2009","28","1","","January","2009","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2157823","David V. Lu and Ross  Mead","","","","Introducing Students Grades 6-12 to Expressive Robotics","411--412","","2","educational robotics, expressive robotics, human robot interaction","10.1145/2157689.2157823","","","","","","","2012","","Proceedings of the Seventh Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '12","","978-1-4503-1063-5","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","1558021","Fatih  G&#246;k&#231;e and Erol  &#350;ahin","","","","To Flock or Not to Flock: The Pros and Cons of Flocking in Long-range Migration of Mobile Robot Swarms","65--72","","8","flocking, migration, swarm robotics","","","","","","","","2009","","Proceedings of The 8th International Conference on Autonomous Agents and Multiagent Systems - Volume 1","AAMAS '09","","978-0-9817381-6-1","Budapest, Hungary","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","2783474","O. M. Ratan Sadanand and S.  Sairaman and P. H. Balaji Sah and G.  Udhayakumar and Rajeevlochana G. Chittawadigi and Subir Kumar Saha","","","","Kinematic Analysis of MTAB Robots and Its Integration with RoboAnalyzer Software","25:1--25:6","25","6","DH parameters, industrial robot, robot kinematics, robot simulation, serial robots","10.1145/2783449.2783474","","","","","","","2015","","Proceedings of the 2015 Conference on Advances In Robotics","AIR '15","","978-1-4503-3356-6","Goa, India","ACM","New York, NY, USA"
"article","1146478","Janice L. Pearce and Bob  Powers and Chistopher  Hess and Paul E. Rybski and Sascha A. Stoeter and Nikolaos  Papanikolopoulos","","","","Using Virtual Pheromones and Cameras for Dispersing a Team of Multiple Miniature Robots","307--321","","15","Dispersion, distributed robotics, miniature robotics, mobile robots","10.1007/s10846-006-9038-4","J. Intell. Robotics Syst.","April     2006","45","4","","April","2006","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2688727","M&#225;rio  Saleiro and Bruna  Carmo and Joao M. Rodrigues and J. M. Buf","","","","A Low-Cost Classroom-Oriented Educational Robotics System","74--83","","10","Education, Robotics","10.1007/978-3-319-02675-6_8","","","","","","","2013","","Proceedings of the 5th International Conference on Social Robotics - Volume 8239","ICSR 2013","","978-3-319-02674-9","Bristol, UK","Springer-Verlag New York, Inc.","New York, NY, USA"
"article","2536581","Juan Felipe Garc&#237;a Sierra and Francisco J. Rodr&#237;guez Lera and Camino Fern&#225;ndez Llamas and Vicente Matell&#225;n Olivera","","","","Inside the Maze: Who Would Find the Cheese First, a Robot or a Mouse?: Teaching IT Using Robots","297--302","","6","animal-robot interaction, computer architecture teaching, motivation, robot","10.1145/2536536.2536581","","","","","","","2013","","Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality","TEEM '13","","978-1-4503-2345-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","1957754","Suleman  Shahid and Emiel  Krahmer and Marc  Swerts and Omar  Mubin","","","","Who is More Expressive During Child-robot Interaction: Pakistani or Dutch Children?","247--248","","2","age, children, culture, games, robot","10.1145/1957656.1957754","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","1349842","Susan R. Fussell and Sara  Kiesler and Leslie D. Setlock and Victoria  Yew","","","","How People Anthropomorphize Robots","145--152","","8","human-robot interaction, social robots","10.1145/1349822.1349842","","","","","","","2008","","Proceedings of the 3rd ACM/IEEE International Conference on Human Robot Interaction","HRI '08","","978-1-60558-017-3","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"phdthesis","220606","Haluk  Elci","","","","","","","","","","","","","","","","1995","","The Design and Applications of Learning Control","","","","","Columbia University","New York, NY, USA"
"book","580553","  IEEE Robotics & Automation Society","","","","","","","","","","","","","","","","2001","","IEEE/Rsi International Conference on Intelligent Robots and Systems Proceedings","","","0780363507","","IEEE Standards Office","New York, NY, USA"
"article","1451488","Nuno  Otero and Joe  Saunders and Kerstin  Dautenhahn and Chrystopher L. Nehaniv","","","","Teaching Robot Companions: The Role of Scaffolding and Event Structuring","111--134","","24","human-robot interaction, robot event structuring, robot learning, robot task scaffolding, robot task segmentation, robot teaching","10.1080/09540090802091925","Connect. Sci","June 2008","20","2-3","","June","2008","0954-0091","","","","","","Taylor &amp; Francis, Inc.","Bristol, PA, USA"
"article","1734568","Dilip Kumar  Limbu and Yeow Kee  Tan and Lawrence T.C. Por","","","","FusionBot: A Barista Robot - Fusionbot Serving Coffees to Visitors During Technology Exhibition Event","341--342","","2","barista robot, human-robot interaction, service robot, social robotics","","","","","","","","2010","","Proceedings of the 5th ACM/IEEE International Conference on Human-robot Interaction","HRI '10","","978-1-4244-4893-7","Osaka, Japan","IEEE Press","Piscataway, NJ, USA"
"article","1514096","Akhil J. Madhani","","","","Bringing Physical Characters to Life","1--2","","2","interaction, robotics","10.1145/1514095.1514096","","","","","","","2009","","Proceedings of the 4th ACM/IEEE International Conference on Human Robot Interaction","HRI '09","","978-1-60558-404-1","La Jolla, California, USA","ACM","New York, NY, USA"
