"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB.cloud+robotics.RB.+and+.LB.cloud+computing.RB.",2017/05/03 14:24:04
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Multiple face recognition in real-time using cloud computing, Emgu CV and Windows Azure","D. von Söhsten; S. Murilo","Polytechnic School of Pernambuco, University of Pernambuco, Recife, Brazil","2013 13th International Conference on Intellient Systems Design and Applications","20141013","2013","","","137","140","Multiple face recognition has several applications, such as in the areas of security and robotics. Recognition and classification techniques have been developed in recent years, through different programming languages and approaches. However, the level of detailing often requires a high processing power. This article proposes the use of cloud computing - more specifically, Windows Azure platform - to identify possible performance gains while testing EmguCV framework.","2164-7143;21647143","Electronic:978-1-4799-3516-1; POD:978-1-4799-3517-8","10.1109/ISDA.2013.6920723","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6920723","cloud computing;eigenfaces;emgu cv;face recognition;windows azure","Cameras;Cryptography;Databases;Face;Face recognition;Image recognition;Servers","C++ language;cloud computing;face recognition;programming languages;visual languages","Emgu CV;Windows Azure;cloud computing;multiple face recognition;programming languages","","0","","16","","","8-10 Dec. 2013","","IEEE","IEEE Conference Publications"
"Convexity based object partitioning for robot applications","S. C. Stein; F. Wörgötter; M. Schoeler; J. Papon; T. Kulvicius","Georg-August-Universit&#x00E4;t G&#x00F6;ttingen, Bernstein Center for Computational Neuroscience, Friedrich-Hund Platz 1, DE-37077 G&#x00F6;ttingen, Germany","2014 IEEE International Conference on Robotics and Automation (ICRA)","20140929","2014","","","3213","3220","The idea that connected convex surfaces, separated by concave boundaries, play an important role for the perception of objects and their decomposition into parts has been discussed for a long time. Based on this idea, we present a new bottom-up approach for the segmentation of 3D point clouds into object parts. The algorithm approximates a scene using an adjacency-graph of spatially connected surface patches. Edges in the graph are then classified as either convex or concave using a novel, strictly local criterion. Region growing is employed to identify locally convex connected subgraphs, which represent the object parts. We show quantitatively that our algorithm, although conceptually easy to graph and fast to compute, produces results that are comparable to far more complex state-of-the-art methods which use classification, learning and model fitting. This suggests that convexity/concavity is a powerful feature for object partitioning using 3D data. Furthermore we demonstrate that for many objects a natural decomposition into “handle and body” emerges when employing our method. We exploit this property in a robotic application enabling a robot to automatically grasp objects by their handles.","1050-4729;10504729","Electronic:978-1-4799-3685-4; POD:978-1-4799-3686-1; USB:978-1-4799-3684-7","10.1109/ICRA.2014.6907321","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6907321","","Benchmark testing;Image segmentation;Object segmentation;Partitioning algorithms;Robots;Shape;Three-dimensional displays","graph theory;image classification;image segmentation;robot vision","3D data;3D point cloud segmentation;adjacency-graph;bottom-up approach;concave boundaries;connected convex surfaces;convexity based object partitioning;locally convex connected subgraphs;model fitting;object perception;region growing;robotic application;spatially connected surface patches;strictly local criterion","","10","1","27","","","May 31 2014-June 7 2014","","IEEE","IEEE Conference Publications"
"Combining two point clouds generated from depth camera","X. Li; W. Guo; M. Li; L. Sun","","2013 IEEE International Conference on Robotics and Biomimetics (ROBIO)","20140317","2013","","","2620","2625","Depth Cameras are widely used in mobile robotics recently. Combining two frames is the key step to construct a complete 3D map, and the relative pose between two views w.r.t two frames is needed. 3D point pairs are necessary for computing 6DOF pose transformation. In this paper, a method for finding correspondences of two point clouds is proposed, and the advantages of depth camera are taken fully. The idea of this approach comes from the fact that people pay more attentions to some key points when they watch an environment. Point pairs are generated from just points around the feature points, and these pairs are corresponded accurately and the number of pairs is sufficient to compute relative pose. Firstly, the algorithm for matching features from intensity image is proposed. Secondly, 3D point pairs are obtained according to the feature positions. Lastly, two point clouds are registered based on the relative pose computed. The experiments demonstrate the efficiency and the effectiveness of the approach.","","Electronic:978-1-4799-2744-9; POD:978-1-4799-2745-6; USB:978-1-4799-2743-2","10.1109/ROBIO.2013.6739868","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6739868","","Cameras;Feature extraction;Iterative closest point algorithm;Robot vision systems;Three-dimensional displays","cameras;feature extraction;image matching;image segmentation;three-dimensional displays","3D map;3D point pairs;6DOF pose transformation;depth cameras;feature points;feature positions;intensity image;matching features;mobile robotics;point clouds correspondences;relative pose","","0","","22","","","12-14 Dec. 2013","","IEEE","IEEE Conference Publications"
"Towards cloud-based architectures for robotic applications provisioning","F. Z. Errounda; F. Belqasmi; R. Glitho","Concordia Inst. of Inf. Syst. Eng. (CIISE), Concordia Univ., Montreal, QC, Canada","2013 Fourth International Conference on the Network of the Future (NoF)","20140127","2013","","","1","3","Robotic applications are widely used in various domains (e.g. healthcare, agriculture). However, provisioning them in a cost-efficient manner remains an uphill task. Cloud computing is a new paradigm with three key facets: Infrastructure as a Service (IaaS), Platform as a Service (PaaS) and Software as a Service (SaaS). Rapid application development/deployment, pay-per-use and efficient use of resources are among the expected benefits. Cloud computing is a promising technology for application provisioning and can bring robotic application provisioning to the next level. This paper identifies the shortcomings of the state of the art in cloud-based architectures for robotic applications provisioning. It sketches an overall business model to tackle the identified shortcomings. It proposes an overlay-based architecture to handle the cloud interactions aspects of the proposed business model. The implementation aspects of the overlay-based architecture are discussed. Research directions are also identified.","","Electronic:978-1-4799-1644-3; POD:978-1-4799-1642-9","10.1109/NOF.2013.6724524","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6724524","cloud computing;machine-to-machine communication;overlay network;robotic applications","Business;Cloud computing;Clouds;Computer architecture;Fires;Ontologies;Robots","cloud computing;control engineering computing;robots","IaaS;PaaS;SaaS;cloud computing;cloud interaction aspect;cloud-based architecture;infrastructure as a service;overlay-based architecture;platform as a service;robotic application provisioning;software as a service","","2","","7","","","23-25 Oct. 2013","","IEEE","IEEE Conference Publications"
"Generating colored point cloud under the calibration between TOF and RGB cameras","X. Li; W. Guo; M. Li; C. Chen; L. Sun","State Key Lab. of Robot. & Syst., Harbin Inst. of Technol., Harbin, China","2013 IEEE International Conference on Information and Automation (ICIA)","20140127","2013","","","483","488","3D point cloud is the original format of three dimensional map for the navigation of mobile robotics. Time of Flight camera can directly return 3D points and grayscale image simultaneously, but the color information is lost. In this paper, 3D points are colored by calibrating PMD camera with RGB camera, and then the RGB image is generated with respect to a frame of TOF camera. Point cloud form only one frame is not large enough for navigating the robot or observing the environment, an approach for combining two continuous frames is also proposed. Scale invariant features are detected from the RGB images generated, and features from two images are matched accurately. Iterative Closest Point(ICP) algorithm is used to estimate the relative pose transformation of TOF camera, the initial pose is computed from corresponded 3D feature point pairs. The experiments demonstrate the effectiveness of the approach proposed in the paper.","","Electronic:978-1-4799-1334-3; POD:978-1-4799-1332-9; USB:978-1-4799-1333-6","10.1109/ICInfA.2013.6720347","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6720347","TOF camera;calibration;point cloud;relative pose","Calibration;Cameras;Feature extraction;Gray-scale;Image color analysis;Robot vision systems;Three-dimensional displays","calibration;cameras;image processing;image processing equipment;solid modelling","3D point cloud;PMD camera;RGB camera;TOF camera;color information;colored point cloud generation;grayscale image;iterative closest point algorithm;mobile robot navigation;three dimensional map;time of flight camera","","1","","18","","","26-28 Aug. 2013","","IEEE","IEEE Conference Publications"
"Voxel planes: Rapid visualization and meshification of point cloud ensembles","J. Ryde; V. Dhiman; R. Platt","Comput. Sci. & Eng., SUNY at Buffalo, Buffalo, NY, USA","2013 IEEE/RSJ International Conference on Intelligent Robots and Systems","20140102","2013","","","3731","3737","Conversion of unorganized point clouds to surface reconstructions is increasingly required in the mobile robotics perception processing pipeline, particularly with the rapid adoption of RGB-D (color and depth) image sensors. Many contemporary methods stem from the work in the computer graphics community in order to handle the point clouds generated by tabletop scanners in a batch-like manner. The requirements for mobile robotics are different and include support for real-time processing, incremental update, localization, mapping, path planning, obstacle avoidance, ray-tracing, terrain traversability assessment, grasping/manipulation and visualization for effective human-robot interaction. We carry out a quantitative comparison of Greedy Projection and Marching cubes along with our voxel planes method. The execution speed, error, compression and visualization appearance of these are assessed. Our voxel planes approach first computes the PCA over the points inside a voxel, combining these PCA results across 2×2×2 voxel neighborhoods in a sliding window. Second, the smallest eigenvector and voxel centroid define a plane which is intersected with the voxel to reconstruct the surface patch (3-6 sided convex polygon) within that voxel. By nature of their construction these surface patches tessellate to produce a surface representation of the underlying points. In experiments on public datasets the voxel planes method is 3 times faster than marching cubes, offers 300 times better compression than Greedy Projection, 10 fold lower error than marching cubes whilst allowing incremental map updates.","2153-0858;21530858","DVD:978-1-4673-6357-0; Electronic:978-1-4673-6358-7; POD:978-1-4673-6356-3","10.1109/IROS.2013.6696889","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6696889","","Eigenvalues and eigenfunctions;Image reconstruction;Principal component analysis;Robot sensing systems;Surface reconstruction","collision avoidance;computational geometry;data visualisation;eigenvalues and eigenfunctions;image colour analysis;mobile robots;principal component analysis;ray tracing;real-time systems;surface reconstruction","2×2×2 voxel neighborhoods;PCA;RGB-D image sensors;computer graphics community;convex polygon;eigenvector;grasping;greedy projection;human-robot interaction;incremental map updates;incremental update;localization;manipulation;mapping;marching cubes;meshification;mobile robotics perception processing pipeline;obstacle avoidance;path planning;point cloud ensembles;public datasets;rapid visualization;ray-tracing;real-time processing;reconstruct the surface patch;sliding window;surface patches;surface reconstructions;surface representation;tabletop scanners;terrain traversability assessment;unorganized point clouds;visualization appearance;voxel centroid;voxel planes method","","1","","23","","","3-7 Nov. 2013","","IEEE","IEEE Conference Publications"
"Feature based particle filter registration of 3D surface models and its application in robotics","C. Rink; Z. C. Marton; D. Seth; T. Bodenmüller; M. Suppa","Inst. of Robot. & Mechatron., DLR (German Aerosp. Center), Wessling, Germany","2013 IEEE/RSJ International Conference on Intelligent Robots and Systems","20140102","2013","","","3187","3194","This work is focused on global registration of surface models such as homogeneous triangle meshes and point clouds. The investigated approach utilizes feature descriptors in order to assign correspondences between the data sets and to reduce complexity by considering only characteristic feature points. It is based on the decomposability of rigid motions into a rotation and a translation. The space of rotations is searched with a particle filter and scoring is performed by looking for clusters in the resulting sets of translations. We use features computed from homogeneous triangle meshes and point clouds that require low computation time. A major advantage of the approach proves to be the possible consideration of prior knowledge about the relative orientation. This is especially important when high noise levels produce deteriorated features that are hard to match correctly. Comparisons to existing algorithms show the method's competitiveness, and results in robotic applications with different sensor types are presented.","2153-0858;21530858","DVD:978-1-4673-6357-0; Electronic:978-1-4673-6358-7; POD:978-1-4673-6356-3","10.1109/IROS.2013.6696809","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6696809","","Estimation;Feature extraction;Image edge detection;Robots;Robustness;Solid modeling;Three-dimensional displays","computational complexity;computer graphics;image registration;particle filtering (numerical methods);robots","3D surface models;complexity;feature based particle filter registration;feature descriptors;global registration;homogeneous triangle meshes;point clouds;rigid motions;robotic applications","","3","","27","","","3-7 Nov. 2013","","IEEE","IEEE Conference Publications"
"Adage mobile services for ITS infrastructure","V. S. Zaborovskiy; A. A. Lukashin; S. G. Popov; A. V. Vostrov","Telematics Dept., St. Petersburg State Polytech. Univ., St. Petersburg, Russia","2013 13th International Conference on ITS Telecommunications (ITST)","20131219","2013","","","127","132","Modern Intelligent Transport Systems (ITS) are based on specific services that are hosted at the edge of network infrastructure. These services are created using the vehicle embedded computing appliances, private cloud resources and global available information services. Within proposed approach all vehicles are considered as mobile part of low level operation network that providing low latency and requested QoS characteristics for ITS communication and information systems. More over some of the discussed decisions support multiprotocol interactions and predictable real time performance so can be used for different kind of industrial, transport and robotics applications. ITS supplemented by low level operation network expands opportunity for practical implementation of emerging Internet of Things (IoT) concept. Thanks to wide functional ability proposed approach is well positioned for big data and on demand high performance applications. Some aspects of these services develops ideas of CISCO' Fog Computing [1] and may be seamlessly supported into existing ITS cloud infrastructure using virtual firewall appliances which provides bilateral access control between vehicles that belongs to MESH network and IaaS segments resources of which support high performance computing or even supercomputers services [2].","","Electronic:978-1-4799-0846-2; POD:978-1-4799-0844-8; USB:978-1-4799-0845-5","10.1109/ITST.2013.6685533","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6685533","Cloud Services;Intelligent Transport Systems;MESH;Multiprotocol Node;Security Services","Cloud computing;Mesh networks;Mobile communication;Protocols;Security;Vehicles;Virtual machining","Internet of Things;cloud computing;intelligent transportation systems;mobile computing","ITS infrastructure;IaaS segments resources;Internet of Things concept;MESH network;adage mobile services;big data;global available information services;high performance applications;intelligent transport systems;multiprotocol interactions;predictable real time performance;private cloud resources;vehicle embedded computing appliances","","5","","9","","","5-7 Nov. 2013","","IEEE","IEEE Conference Publications"
"Rapyuta: The RoboEarth Cloud Engine","D. Hunziker; M. Gajamohan; M. Waibel; R. D'Andrea","Institute for Dynamic Systems and Control, Swiss Federal Institute of Technology Z&#x00FC;rich, Switzerland","2013 IEEE International Conference on Robotics and Automation","20131017","2013","","","438","444","In this paper we present the design and implementation of Rapyuta<sup>1</sup>, the RoboEarth Cloud Engine. Rapyuta is an open source Platform-as-a-Service (PaaS) framework designed specifically for robotics applications. Rapyuta helps robots to offload heavy computation by providing secured customizable computing environments in the cloud. The computing environments also allow robots to easily access the RoboEarth knowledge repository. Furthermore, these computing environments are tightly interconnected, paving the way for deployment of robotic teams. We also describe specific use case configurations and present some performance results.","1050-4729;10504729","Electronic:978-1-4673-5643-5; POD:978-1-4673-5640-4","10.1109/ICRA.2013.6630612","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6630612","","Robot sensing systems","cloud computing;public domain software;robots","PaaS framework;Rapyuta;RoboEarth cloud engine;RoboEarth knowledge repository;open source platform-as-a-service framework;robotic teams;robotics applications","","31","","27","","","6-10 May 2013","","IEEE","IEEE Conference Publications"
"Elevation mapping using stereo vision enabled heterogenous multi-agent robotic network","A. Sarkar; S. Srivastava; B. S. Manoj","Indian Institute of Space Science and Technology, Thiruvananthapuram, India","2013 IEEE Global Humanitarian Technology Conference: South Asia Satellite (GHTC-SAS)","20131015","2013","","","340","345","Multi-agent systems and stereo vision navigation is a challenging area in Robotic research. The task can be widely scalable and optimized for a specific application. An efficient centralized heterogeneous swarm robotic system is proposed and implemented for digital elevation mapping of an unknown terrain using stereo vision. The utility of vision sensors compared to other sensor systems is shown in mapping and navigation application on planetary terrain. The cloud computing paradigm is implemented in the communication module via a private cloud over OLSR. The system utilizes real-time odometry, disparity mapping, cloud computing, and network hazard recovery algorithms for efficient terrain mapping. The map is stored in an octree data structure. The system is designed keeping in perspective planetary exploration mission, however it is widely scalable and can be modified for various civilian and military purposes.","","Electronic:978-1-4799-1095-3; POD:978-1-4799-1093-9","10.1109/GHTC-SAS.2013.6629942","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6629942","SLAM;VANET;digital elevation mapping;heterogeneous centralised swarm;network hazard control;octree;path planning;private cloud;robotic computer network;stereo vision;visual odometry","Ad hoc networks;Cameras;Cloud computing;Hazards;Octrees;Robots;Stereo vision","aerospace robotics;cloud computing;digital elevation models;image sensors;mobile robots;multi-robot systems;octrees;path planning;planetary rovers;robot vision;routing protocols;stereo image processing;terrain mapping","OLSR;centralized heterogeneous swarm robotic system;cloud computing;communication module;digital elevation mapping;disparity mapping;heterogenous multiagent robotic network;network hazard recovery algorithms;octree data structure;optimized link state routing protocol;planetary exploration mission;planetary terrain;private cloud;real-time odometry;stereo vision;terrain mapping;vision sensors","","0","","12","","","23-24 Aug. 2013","","IEEE","IEEE Conference Publications"
"Capturing and analyzing wheelchair maneuvering patterns with mobile cloud computing","J. Fu; W. Hao; T. White; Y. Yan; M. Jones; Y. K. Jan","Univ. of Central Oklahoma, Edmond, OK, USA","2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20130926","2013","","","2419","2422","Power wheelchairs have been widely used to provide independent mobility to people with disabilities. Despite great advancements in power wheelchair technology, research shows that wheelchair related accidents occur frequently. To ensure safe maneuverability, capturing wheelchair maneuvering patterns is fundamental to enable other research, such as safe robotic assistance for wheelchair users. In this study, we propose to record, store, and analyze wheelchair maneuvering data by means of mobile cloud computing. Specifically, the accelerometer and gyroscope sensors in smart phones are used to record wheelchair maneuvering data in real-time. Then, the recorded data are periodically transmitted to the cloud for storage and analysis. The analyzed results are then made available to various types of users, such as mobile phone users, traditional desktop users, etc. The combination of mobile computing and cloud computing leverages the advantages of both techniques and extends the smart phone's capabilities of computing and data storage via the Internet. We performed a case study to implement the mobile cloud computing framework using Android smart phones and Google App Engine, a popular cloud computing platform. Experimental results demonstrated the feasibility of the proposed mobile cloud computing framework.","1094-687X;1094687X","Electronic:978-1-4577-0216-7; POD:978-1-4577-0215-0; USB:978-1-4577-0214-3","10.1109/EMBC.2013.6610027","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610027","","Accelerometers;Cloud computing;Gyroscopes;Mobile communication;Sensors;Smart phones;Wheelchairs","accelerometers;cloud computing;data analysis;data recording;handicapped aids;medical information systems;mobile computing;sensors;smart phones;telemedicine;wheelchairs","Android smart phone;Google App Engine;Internet;accelerometer sensor;desktop user;gyroscope sensor;mobile cloud computing;mobile phone user;robotic assistance;wheelchair maneuvering data analysis;wheelchair maneuvering data recording;wheelchair maneuvering data storage;wheelchair maneuvering pattern analysis;wheelchair maneuvering pattern capturing;wheelchair user","","1","1","11","","","3-7 July 2013","","IEEE","IEEE Conference Publications"
"Robotic thumb grasp-based range of motion optimisation","K. Dermitzakis; A. Ioannides; H. t. Lin","AILab, UZH, Zu&#x0308;rich, Switzerland","2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20130926","2013","","","3163","3166","With the thumb serving an important role in the function of the human hand, improving robotic prosthetic thumb functionality will have a direct impact on the prosthesis itself. So far, no significant work exists that examines the ranges of motion a prosthetic thumb should exhibit; many myoelectric prostheses arbitrarily select them. We question this design practice as we expect a significant functional volume reduction for performing certain activities vs. the maximum obtainable workspace. To this end, we compare and contrast four anatomically-accurate thumb models. We quantify their angular ranges of motion by generating point clouds of end-effector positions, and by computing their alpha-shape bounded volumes. Examining the function of the thumb for several grasps, we identify a 76% reduction of the required workspace volume vis-a-vis the maximum volume of a “`generic'” human thumb.","1094-687X;1094687X","Electronic:978-1-4577-0216-7; POD:978-1-4577-0215-0; USB:978-1-4577-0214-3","10.1109/EMBC.2013.6610212","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610212","","Joints;Kinematics;Prosthetics;Read only memory;Robots;Shape;Thumb","biomechanics;medical robotics;prosthetics","alpha-shape bounded volume;end-effector position;functional volume reduction;human hand function;myoelectric prostheses;point cloud generation;range of motion optimisation;robotic human thumb grasping;robotic prosthetic thumb functionality","","0","","18","","","3-7 July 2013","","IEEE","IEEE Conference Publications"
"GPU-SHOT: Parallel Optimization for Real-Time 3D Local Description","D. Palossi; F. Tombari; S. Salti; M. Ruggiero; L. Di Stefano; L. Benini","DEI, Univ. of Bologna, Bologna, Italy","2013 IEEE Conference on Computer Vision and Pattern Recognition Workshops","20130912","2013","","","584","591","The fields of 3D computer vision, 3D robotic perception and photogrammetry rely more and more heavily on matching 3D local descriptors, computed on a small neighborhood of a point cloud or a mesh, to carry out tasks such as point cloud registration, 3D object recognition and pose estimation in clutter, SLAM, 3D object retrieval. One major drawback of these applications is currently the high computational cost of processing 3D point clouds, with the 3D descriptor computation representing one of the main bottlenecks. In this paper we explore the optimization for parallel architectures of the recently proposed SHOT descriptor [22] and of its extension to RGB-D data [23]. Even though some steps of the original algorithm are not directly suitable for parallel optimization, we are able to obtain notable speed-ups with respect to the CPU implementation. We also show an application of our optimization to 3D object recognition in clutter, where the proposed parallel implementation allows for real-time 3D local description.","2160-7508;21607508","Electronic:978-0-7695-4990-3; POD:978-1-4799-0994-0","10.1109/CVPRW.2013.88","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6595932","3D descriptor;3D feature;3D object recognition;GPU optimization;SHOT","Covariance matrices;Graphics processing units;Histograms;Image color analysis;Indexes;Optimization;Three-dimensional displays","graphics processing units;object recognition;optimisation;parallel architectures","3D computer vision;3D descriptor computation;3D local descriptor matching;3D object recognition;3D object retrieval;3D point clouds;3D robotic perception;CPU implementation;GPU-SHOT;RGB-D data;SLAM;mesh;parallel architecture optimization;photogrammetry;point cloud registration;pose estimation;real-time 3D local description","","4","","31","","","23-28 June 2013","","IEEE","IEEE Conference Publications"
"Dynamic resource allocation for machine to cloud communications robotics cloud","B. Dhiyanesh","CSE, Nehru Institute of Engineering and Technology, Kovai","2012 International Conference on Emerging Trends in Electrical Engineering and Energy Management (ICETEEEM)","20130408","2012","","","451","454","The computation and information sharing capabilities of networked robotics by proposing a clond robotic architecture. The cloud robotics architecture leverages the combination of a virtual ad-hoc clond formed by machine-to-machine (M2M) communications among participating robots, and an infrastructure cloud enabled by machine-to-cloud (M2C) communications. Clond robotics utilizes elastic computing models, in which resources are dynamically allocated from a shared resource pool in the clond, to support task offloading and information sharing In robotic applications. The propose communication protocols, and several elastic computing models to handle different applications. The technical challenges in computation, communications and security, and illustrate the potential benefits of cloud robotics in several applications.","","Electronic:978-1-4673-4634-4; POD:978-1-4673-4633-7","10.1109/ICETEEEM.2012.6494498","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494498","cloud computing;elastic computing;machine-to-machine communication;robotics","","cloud computing;multi-robot systems;protocols;resource allocation;software architecture","M2C communications;M2M communications;cloud communication robotic cloud;cloud robotic architecture;communication protocols;computation capabilities;dynamic resource allocation;dynamical resource allocation;elastic computing model;information sharing capabilities;infrastructure cloud;machine-to-cloud communications;machine-to-machine communications;networked robotics;shared resource pool;task offloading;virtual ad hoc cloud","","1","","5","","","13-15 Dec. 2012","","IEEE","IEEE Conference Publications"
"Towards cloud robotic system: A case study of online co-localization for fair resource competence","L. Wang; M. Liu; M. Q. H. Meng","Department of Electronic Engineering, The Chinese University of Hong Kong","2012 IEEE International Conference on Robotics and Biomimetics (ROBIO)","20130404","2012","","","2132","2137","The cloud transforms the potential of robotics, which enable poor-equipped robots to fulfill complex tasks. Robots are relieved from hardware limitation, while large amount of available resources and parallel computing capability are available in the “cloud”. We implemented a data management system using Twisted-based server-client platform and Robotic Operating System (ROS), aiming at co-localization of cloud robots. However, resource competition is pervasive for practical applications of networked robotics. As a major bridge, the limited bandwidth becomes a bottleneck needs to be considered for the architecture design. We propose an infrastructure which considers multi-robot autonomous negotiation (MRAN) module. The framework is validated by enabling several poor-equipped robots to retrieve location data from a dynamically updated map which is built by a well-equipped robot. Experiment results demonstrate that the proposed framework is feasible for current robotic applications. Furthermore, it achieves better performance under resource competition, and optimizes Quality of Service (QoS) using a shared network with limited bandwidth.","","DVD:978-1-4673-2126-6; Electronic:978-1-4673-2127-3; POD:978-1-4673-2125-9","10.1109/ROBIO.2012.6491284","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6491284","","","client-server systems;cloud computing;control engineering computing;multi-robot systems;operating systems (computers);parallel processing;quality of service","MRAN;QoS;ROS;architecture design;cloud robotic system;data management system;fair resource competence;hardware limitation;multirobot autonomous negotiation module;networked robotics;online colocalization;parallel computing capability;poor-equipped robots;quality of service;robotic operating system;shared network;twisted-based server-client platform;well-equipped robot","","15","","34","","","11-14 Dec. 2012","","IEEE","IEEE Conference Publications"
"Facilitation of Cognitive Robotics by web based computational intelligent models","B. Tudjarov; J. Botzheim; N. Kubota","Department of Fundamentals and Technical Means of Design, Technical University of Sofia, 8, Kliment Ohridski Str., 1000, Bulgaria","2012 International Symposium on Micro-NanoMechatronics and Human Science (MHS)","20130404","2012","","","144","148","The aim of this research is to combine computational intelligent techniques with web based modeling and simulation to assure functional and E-learning means in the field of Cognitive Robotics. A web based evolutionary computation experimental tool has been created based on cloud computing approach and bacterial memetic algorithm. The technique is applied for generating locomotion of a six legged robot.","","Electronic:978-1-4673-4813-3; POD:978-1-4673-4811-9","10.1109/MHS.2012.6492470","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6492470","","","cloud computing;cognitive systems;digital simulation;educational robots;evolutionary computation;legged locomotion","E-learning;Web-based computational intelligent model;Web-based evolutionary computation experimental tool;Web-based modeling;Web-based simulation;bacterial memetic algorithm;cloud computing;cognitive robotics;locomotion generation;six-legged robot","","1","","22","","","4-7 Nov. 2012","","IEEE","IEEE Conference Publications"
"Cloud robotics: Current trends and possible use as a service","D. Lorencik; P. Sincak","Center for Intelligent Technologies, Department of Cybernetics and Artificial Intelligence, Technical University of Kosice/Bozeny Nemcovej 3, 04001, Slovak Republic","2013 IEEE 11th International Symposium on Applied Machine Intelligence and Informatics (SAMI)","20130318","2013","","","85","88","Since the cloud computing became widely available, lots of previously algorithms and systems previously thought of as very time consuming became instantly viable. For robotics and AI especially this means that if the power behind the cloud could be harnessed, it would be possible to build smaller, more battery effective robots because there would be no need to have a powerful computer on board, but the brain of the robot can be in the cloud. The idea of remote brain is not a new one, though. Nevertheless, it is possible to create one now. Centralised cloud for robot means that the memory can be nearly infinite, and instantly available to other robots, so the process of learning and exchanging the knowledge can be simplified. Also, this approach will allow for easy change and upgrade of the methods used regardless of robot hardware.","","Electronic:978-1-4673-5929-0; POD:978-1-4673-5928-3; USB:978-1-4673-5927-6","10.1109/SAMI.2013.6480950","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480950","","Artificial intelligence;Cloud computing;Computational modeling;Computer architecture;Robot sensing systems","cloud computing;control engineering computing;knowledge acquisition;learning (artificial intelligence);robots","AI;artificial intelligence;battery effective robot;centralised cloud;cloud computing;cloud robotics;knowledge exchange;knowledge learning;remote brain;robot hardware","","9","","15","","","Jan. 31 2013-Feb. 2 2013","","IEEE","IEEE Conference Publications"
"‘Robot-Cloud’: A framework to assist heterogeneous low cost robots","R. Doriya; P. Chakraborty; G. C. Nandi","Robot. &amp; Artificial Intell. Lab., Indian Inst. of Inf. Technol., Allahabad, India","2012 International Conference on Communication, Information & Computing Technology (ICCICT)","20121231","2012","","","1","5","This paper gives a framework to offer assistance to low cost ROS (Robot Operating System) supported heterogeneous robots in a large environment through cloud. To build such a system `Robot-Cloud' is prepared which extends the functionality of a robot. A `Robot-Cloud' is designed and implemented with components like cloud controller, ROS master node, storage unit, Map-reduce computing cluster and robotic services. In this system every robot is facilitated with ROS capability that helps to provide abstraction over hardware, heterogeneity and communication over TCP/IP. All the robots communicate with a master node present at the cloud controller to avail communication with other robots and to request services from the cloud. Our system supports all three basic service models i.e. Saas, PaaS and IaaS by incorporating typical SOA (Service Oriented Architecture) functionality. This approach can also be utilized to achieve a common goal for the networked robots. Finally, some simulation results are given to support the claimed framework.","","Electronic:978-1-4577-2078-9; POD:978-1-4577-2077-2","10.1109/ICCICT.2012.6398208","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6398208","Cloud Computing;Cloud Robots;Low Cost Robots;Networked Robots;ROS;SOA","Cloud computing;Computational modeling;Computers;Navigation;Operating systems;Robots;Service oriented architecture","cloud computing;control engineering computing;robots;service-oriented architecture","ROS master node;SOA;assist heterogeneous low cost robot framework;cloud controller;map reduce computing cluster services;map reduce computing robotic services;robot cloud;robot operating system;service oriented architecture;storage unit","","3","","10","","","19-20 Oct. 2012","","IEEE","IEEE Conference Publications"
