"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7492744,7279535,7129299,7101633,7097194,6840196,6256260,6225359,6215759,6129046,5653660,5570010,5509469,7877182,7841487,7832130,7828856,7818728,7813429,7403967,7815054,7808098,7750610,7784040,7764391,7744365,7583017,7578487,7467436,7560952,7556193,7482658,7495388,7486690,7434427,7390563,7371633,7373467,7340044,7329648,7301653,7294140,7279524,7279332,7271354,7244585,7208265,7161824,7161832,7159519,7151907,7151926,7124626,7111555,7102233,7090603,7052418,7006734,7058453,7020689,6996193,6924484,6913971,6907395,6848746,6840176,6803195,6719704,6705424,6669006,6492470,6488073,6481240,6480950,6413563,6392580,6389225,6339517,6145653,6257116,6224781,6176587,6177109,6114210,5741377,5636419,4732159,7583767,7057679,6957144,7804511,7764361,7757056,7601521,7583061,7582638,7560551,7560548,7519559,7456674,7401457,7377858,7282220,7261090,7238032,7208269,7086960,7086812,7045288,7044997,7016584,7013196,6998774,6913248,6914128,6909338,6878716,6867530,6802619,6742803,6724113,6705163,6690826,6642919,6633897,6272891,6261018,6249901,6249904,6245736,6173511,6137532,6120137,6083632,6031169,5967459,5719709,5491203,5286166,5195324,7892444,7890304,7889324,7889276,7881799,7880361,7881389,7876208,7546861,7501894,7867355,7868326,7868328,7866470,7858534,7849551,7849385,7844811,7845277,7848020,7844021,7847108,7832061,7830719,7832872,7819179,7813213,7816822,7816824,7802515,7798591,7798592,7800001,7801596,7780259,7795399,7793638,7793378,7792930,7790233,7790261,7790235,7790237,7790303,7790231,7790228,7784091,7777909,7776604,7776602,7774942,7776601,7774703,7776598,7776606,7776599,7757096,7757139,7757076,7757142,7763386,7757067,7759816,7759183,7760742,7761098,7759337,7755422,7743442,7746367,7745147,7737546,7733661,7734049,7731693,7725000,7718216,7592093,7582999,7579767,7580812,7575205,7575289,7575839,7573157,7568961,7350228,7561390,7562713,7558510,7557399,7551588,7549316,7548853,7550873,7548876,7551610,7552183,7545305,7545923,7545898,7545916,7542934,7537067,7536499,7538313,7529525,7529965,7530061,7529571,7521103,7523582,7519246,7516385,7516130,7508099,7502559,7498096,7496175,7497838,7214266,7487749,7487342,7487738,7484196,7474725,7473389,7470948,7165664,7462548,7454548,7451838,7447641,7441027,7432173,7427867,7423023,7423280,7424204,7424450,7418771,7413855,7418809,7404662,7402311,7402060,7399162,7396543,7398709,7391355,7384376,7382326,7378609,7380576,7372682,7366942,7371481,7373215,7371523,7371478,7371488,7371474,7367414,7366831,7363582,7365005,7354019,7354021,7354254,7354250,7354018,7271006,7342621,7345390,7342639,7333648,7329755,7330665,7325398,7325508,7314695,7310768,7307789,7301582,7298019,7298089,7295892,7281991,7279523,7284031,7277244,7273442,7251449,7248088,7231008,7226703,7219724,7224817,7226691,7225615,7219710,7226690,7218570,7214136,7210475,7210423,7196507,7193238,7175757,7175773,7175819,7175744,7169853,7166057,7166229,7163769,7159512,7160575,7150798,7148524,7129438,7124783,7127391,7116844,7113473,7114484,7107254,7096181,7090590,7092923,7083971,7087296,7079270,7015601,7057681,6853392,7055942,7060735,7014315,7073411,7065585,7065042,7062509,7059670,7060081,7057438,7053321,7051787,7048870,7045722,7044989,7044103,7042718,7037737,7037233,7037232,7033055,7034802,7030597,7031107,7028032,7028182,7027599,7026289,7024620,7018606,7019292,7017644,7015925,7005212,7002408,6997572,6994118,6981542,6976251,6973743,6972553,6973655,6969503,6973581,6973810,6973616,6968367,6966964,6955306,6949344,6945686,6942764,6933461,6927661,6921886,6917443,6918175,6914691,6907211,6910516,6907157,6907168,6903144,6876953,6869142,6869141,6868422,6867562,6857834,6847831,6846922,6842275,6837656,6834956,6830910,6829985,6824650,6825021,6822423,6803166,6803127,6798870,6776008,6766552,6758591,6755280,6756054,6756877,6740256,6645373,6726227,6726744,6728883,6722575,6724524,6719282,6716400,6701466,6705399,6696040,6697184,6700526,6691569,6685385,6686243,6680030,6682102,6664259,6664574,6664573,6664265,6664270,6664326,6664320,6664292,6664576,6664567,6650415,6643315,6637176,6631180,6630612,6629942,6629655,6617612,6603648,6595978,6574680,6569083,6567422,6553932,6550259,6550519,6524399,6513442,6494498,6491284,6459717,6427281,6424962,6375774,6417614,6419529,6398208,6386393,6386768,6379702,6378352,6379903,6376536,6359111,6354613,6343054,6341411,6320742,6301182,6296063,6296066,6270756,6269471,6263815,6263819,6261020,6258444,6257275,6228986,6215740,6215727,6201212,6200718,6201213,6197123,6197619,6189939,6184849,6185343,6164436,6151526,6147465,6139100,6123523,6119642,6118734,6114927,6079428,6056772,6045021,6045151,5976161,5967535,5961968,5928677,5928699,5936565,5778042,5741430,5739270,5509197,5174204,4813878,1507419,576280,7880273,7878182,7866710,7858181,7849607,7791813,7777933,7776559,7695005,7577597,7560860,7555089,7545111,7519367,7515595,7509362,7507337,7468880,7453770,7449653,7444021,7373856,7339250,7250200,7155783,7152194,7133056,7062780,7036461,7021006,7016003,7010193,6998248,6926414,6918779,6900664,6893957,6840034,6808551,6757875,6707153,6664651,6653264,6648898,6643813,6575231,6554165,6530283,6353470,6295472,6223663,6141704,6107961,5966623,5928657,5743366,5731570,5631785",4/22/17 12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Reliable, cloud-based communication for multi-robot systems",R. Hartanto; M. Eich,"Robot. Innovation Center, German Res. Center for Artificial Intell., Bremen, Germany",2014 IEEE International Conference on Technologies for Practical Robot Applications (TePRA),20140804,2014,,,1,8,"In contrast to single robotic agent, multi-robot systems are highly dependent on reliable communication. Robots have to synchronize tasks or to share poses and sensor readings with other agents, especially for co-operative mapping task where local sensor readings are incorporated into a global map. The drawback of existing communication frameworks is that most are based on a central component which has to be constantly within reach. Additionally, they do not prevent data loss between robots if a failure occurs in the communication link. During a distributed mapping task, loss of data is critical because it will corrupt the global map. In this work, we propose a cloud-based publish/subscribe mechanism which enables reliable communication between agents during a cooperative mission using the Data Distribution Service (DDS) as a transport layer. The usability of our approach is verified by several experiments taking into account complete temporary communication loss.",2325-0526;23250526,Electronic:978-1-4799-4605-1; POD:978-1-4799-4604-4,10.1109/TePRA.2014.6869142,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6869142,,Couplings;OWL;Observers;Reliability;Robot sensing systems,cloud computing;message passing;mobile robots;multi-robot systems;telecommunication links;telerobotics,DDS;cloud-based communication;cloud-based publish mechanism;cloud-based subscribe mechanism;communication link;cooperative mapping task;data distribution service;data loss;distributed mapping task;global map;multirobot systems;reliable communication;sensor readings;single robotic agent;transport layer,,4,,18,,,14-15 April 2014,,IEEE,IEEE Conference Publications
[Copyright notice],,,2012 International Conference on Collaboration Technologies and Systems (CTS),20120806,2012,,,1,1,The following topics are dealt with: collaboration technologies and systems; cloud computing; multi-robot systems; city planning and population dynamics; mobile robot; mobile ad hoc network; wireless sensor network; cyber security; collaborative e-learning; pervasive computing; and human interactions.,,Electronic:978-1-4673-1382-7; POD:978-1-4673-1381-0,10.1109/CTS.2012.6261018,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6261018,,,cloud computing;computer aided instruction;groupware;human computer interaction;mobile ad hoc networks;multi-robot systems;security of data;town and country planning;ubiquitous computing;wireless sensor networks,city planning;cloud computing;collaboration systems;collaboration technologies;collaborative e-learning;cyber security;human interaction;mobile ad hoc network;mobile robot;multirobot systems;pervasive computing;population dynamics;wireless sensor network,,0,,,,,21-25 May 2012,,IEEE,IEEE Conference Publications
Cloud-based malware analysis system for smart phones,N. Ã‡elenli; O. TopgÃ_l; Ä°. HÃ¶kelek,"&#304;stanbul &#350;ehir &#220;niversitesi, &#220;sk&#252;dar, Turkey",2016 24th Signal Processing and Communication Application Conference (SIU),20160623,2016,,,2057,2060,"With the proliferation of smart phones, users can access internet, e-government, and e-health services while they are on the move. Since smart phones support multiple network interfaces such as 2G/3G/4G, Wi-Fi, Bluetooth, and NFC and are equipped with new sensor capabilities such as GPS, accelerometer, and gyroscope, security systems used in desktop computers are not adequate for smart mobile devices. In addition, since smart phones have limited resources such as processor, memory, and battery, a new security solution that minimizes the usage of these resources and takes the energy efficiency into account is needed. In this paper, we present a cloud-based malware analysis system for smart phones, in which the computationally expensive components are run in the cloud. The proof-of-concept demonstration has been sucessfully demonstrated in a real test environment using an example malware application.",,Electronic:978-1-5090-1679-2; POD:978-1-5090-1680-8; USB:978-1-5090-1678-5,10.1109/SIU.2016.7496175,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7496175,malware analysis;security;smart phones,Androids;Cloud computing;Humanoid robots;Malware;Security;Smart phones,cloud computing;invasive software;smart phones,GPS;Global Positioning Systems;accelerometer;cloud-based malware analysis system;energy efficiency;gyroscope;malware application;network interfaces;smart phones,,,,,,,16-19 May 2016,,IEEE,IEEE Conference Publications
Development of a cloud-enhanced investigative mobile robot,A. Rahman; J. Jin; Y. W. Wong; K. S. Lam,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",2016 International Conference on Advanced Mechatronic Systems (ICAMechS),20170116,2016,,,104,109,"In recent times the cloud based applications for robotics has become an emerging topic of discussion. Both individual as well as networked robotic operation can be benefitted with the support of cloud computing paradigm. The different applications of the cloud enhance its integration with various aspects of robotic operation. However, it depends on the scope of the applications as well as the setup of the robotic system. This has led to our work in this paper that includes a hardware implementation of a robot with cloud-aided applications of face detection and identification for the purpose of interaction and investigation. We explain our face recognition algorithm that we have implemented as well as our methods of using it for context-aware offloading to the cloud. In addition to that, we present an autonomous platform switching algorithm that is network and context aware in terms of task allocation between resources. Our practical implementation and demonstrations analyse the impact of cloud in the performance of this application. From the results, we can suggest that cloud-based approach is beneficial for performance and longevity of the system.",,Electronic:978-1-5090-5346-9; POD:978-1-5090-5347-6,10.1109/ICAMechS.2016.7813429,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7813429,Cloud Computing;Cloud Robotics;Context-Aware Offloading;Face Recognition;Investigation;Platform Switching Algorithm,Cloud computing;Face detection;Face recognition;Hardware;Robot sensing systems;Switches,cloud computing;face recognition;mobile robots,autonomous platform switching algorithm;cloud computing paradigm;cloud-enhanced investigative mobile robot;context-aware offloading;face detection;face recognition algorithm,,,,,,,Nov. 30 2016-Dec. 3 2016,,IEEE,IEEE Conference Publications
Supporting Personizable Virtual Internet of Things,J. Zhang; Z. Li; O. Sandoval; N. Xin; Y. Ren; R. A. Martin; B. Iannucci; M. Griss; S. Rosenberg; J. Cao; A. Rowe,"Carnegie Mellon Univ. - Silicon Valley, Silicon Valley, CA, USA",2013 IEEE 10th International Conference on Ubiquitous Intelligence and Computing and 2013 IEEE 10th International Conference on Autonomic and Trusted Computing,20140130,2013,,,329,336,"This paper reports the design and development of an HTML5-empowered Virtual Sensor Editor (VSE) over Internet of Things cloud. VSE is a scalable tool that allows users to design virtual sensors with user-defined dataflow logic, by visually aggregating existing sensors, either physical sensors or user-defined virtual sensors. VSE supports a real-time and historical visualization of sensor values and analytical studies, and is a cross-platform and customizable tool equipped with ability to support verifiable sensor data service compos ability. A discussion on design decisions is presented. Our preliminary work has been applied to NASA Sustainability Base for Smart Building monitoring. Preliminary performance and scalability study is also reported.",,Electronic:978-1-4799-2482-0; POD:978-1-4799-2483-7,10.1109/UIC-ATC.2013.48,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726227,,Buildings;Internet;NASA;Real-time systems;Robot sensing systems;Temperature measurement;Temperature sensors,Internet of Things;cloud computing;computerised instrumentation;data flow computing;data visualisation;distributed sensors;hypermedia markup languages;virtual reality,HTML5-empowered virtual sensor editor;NASA Ames sustainability base;VSE;analytical studies;historical sensor value visualization;personizable virtual internet-of-things cloud;physical sensors;sensor data service composability;smart building monitoring;user-defined dataflow logic;user-defined virtual sensors,,5,,18,,,18-21 Dec. 2013,,IEEE,IEEE Conference Publications
Design of a Robot Cloud Center,Z. Du; W. Yang; Y. Chen; X. Sun; X. Wang; C. Xu,"Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China",2011 Tenth International Symposium on Autonomous Decentralized Systems,20110405,2011,,,269,275,"Service-oriented architecture and cloud computing have become the prevalent computing paradigm. In this paradigm, computing resources can be accessed like other utility services available in today's society. In the meantime, robotics applications are joining the trend. More and more robot applications are shifting from manufacture to non-manufacture and service industries. However, for the on-demand supply of the large-scale heterogeneous robots, It is still a problem have not yet been studied, including the fundamental management and efficiency issues in using of these resources. In this paper, we design a framework of ""Robot Cloud Center"" (RCC) following the general cloud computing paradigm to address the current limitations in capacity and versatility of robotic applications. In this framework, a robot can be provided as a service just like a public utility service so that everyone can access the powerful robotic services easily, efficiently, and cheaply. Based on a given scenario, a robot scheduling algorithm in RCC is proposed to take advantage of the heterogeneous robot resources to meet the end user's requirement with the minimum cost.",1541-0056;15410056,Electronic:978-0-7695-4349-9; POD:978-1-61284-213-4,10.1109/ISADS.2011.36,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741377,SOA;cloud computing;robot as a service;robot programming,Cloud computing;Computational modeling;Computer architecture;Hardware;Service oriented architecture;Service robots,cloud computing;public utilities;robot programming;scheduling;service robots;service-oriented architecture,cloud computing;large scale heterogeneous robot;on-demand supply;public utility service;robot cloud center;robot programming;robot scheduling algorithm;service oriented architecture,,13,1,12,,,23-27 March 2011,,IEEE,IEEE Conference Publications
[Copyright notice],,,2016 35th Chinese Control Conference (CCC),20160829,2016,,,1,1,The following topics are dealt with: control theory; nonlinear systems; nonlinear control; complexity complex system theory; distributed parameter systems; stability; stabilization; stochastic systems; system modeling; identification; hybrid systems; discrete event dynamic systems; optimal control; optimization; scheduling; robust control; adaptive control; learning control; variable structure control; neural networks; fuzzy system; fuzzy control; pattern recognition; predictive control; motion control; signal processing; information fusion; Big Data; cloud computing; navigation; guidance; control design; mechatronic systems; fault diagnosis; reliable control; communication network systems; machine learning; artificial intelligence; networked control systems; multiagent systems; distributed control; sensor networks; Internet of Things; green energy technology; nature-inspired computing; systems biology; life systems; medical systems; industrial systems; manufacturing; systems engineering theory; system simulation; railway transportation system; visual servoing control; social networks; fractional-order systems; control education and automation social impact.,,Electronic:978-9-8815-6391-0; POD:978-1-5090-0910-7,10.1109/ChiCC.2016.7555089,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7555089,,,Big Data;Internet of Things;adaptive control;biology computing;cloud computing;control engineering education;digital simulation;discrete event systems;distributed control;distributed parameter systems;environmental factors;fault diagnosis;fuzzy control;fuzzy systems;identification;learning (artificial intelligence);learning systems;manufacturing systems;medical computing;modelling;motion control;multi-robot systems;networked control systems;neurocontrollers;nonlinear control systems;optimal control;optimisation;predictive control;railways;robust control;scheduling;sensor fusion;sensors;social aspects of automation;social networking (online);stochastic systems;systems engineering;variable structure systems;visual servoing,Big Data;Internet of Things;adaptive control;artificial intelligence;automation social impact;cloud computing;communication network systems;complexity complex system theory;control design;control education;control theory;discrete event dynamic systems;distributed control;distributed parameter systems;fault diagnosis;fractional-order systems;fuzzy control;fuzzy system;green energy technology;guidance;hybrid systems;identification;industrial systems;information fusion;learning control;life systems;machine learning;manufacturing;mechatronic systems;medical systems;motion control;multiagent systems;nature-inspired computing;navigation;networked control systems;neural networks;nonlinear control;nonlinear systems;optimal control;optimization;pattern recognition;predictive control;railway transportation system;reliable control;robust control;scheduling;sensor networks;signal processing;social networks;stability;stabilization;stochastic systems;system modeling;system simulation;systems biology;systems engineering theory;variable structure control;visual servoing control,,,,,,,27-29 July 2016,,IEEE,IEEE Conference Publications
[Title page i],,,2016 IEEE 19th International Symposium on Real-Time Distributed Computing (ISORC),20160721,2016,,,i,i,The following topics are dealt with: real-time distributed computing; artificial DNA; system Verilog observers; cloud-based real-time stream processing; multicore processors; time-predictable virtual memory; MapReduce workloads; resource allocation; robot technology middleware; and software architecture.,,Electronic:978-1-4673-9032-3; POD:978-1-4673-9033-0,10.1109/ISORC.2016.1,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515595,,,DNA;cloud computing;hardware description languages;middleware;multiprocessing systems;resource allocation;robots;software architecture;storage management,artificial DNA;cloud-based real-time stream processing;multicore processors;real-time distributed computing;resource allocation;robot technology middleware;software architecture;system Verilog observers;time-predictable virtual memory,,,,,,,17-20 May 2016,,IEEE,IEEE Conference Publications
Are the URLs really popular in microblog messages?,A. Cui; M. Zhang; Y. Liu; S. Ma,"State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology Department of Computer Science and Technology, Tsinghua University, Beijing, China",2011 IEEE International Conference on Cloud Computing and Intelligence Systems,20111013,2011,,,1,5,"Microblogging services are attracting people and companies to share their ideas and interests. Since the texts of microblog messages are limited, people post URLs to link to other websites for detailed information. Hence, URLs with higher attentions are spread widely and represent popular information. However, not all these URLs are useful. Many of them are spam URLs which are posted by automated agents or by pushing services from other websites automatically. Based on the features of the popular URLs, we divide them into four categories and propose a clustering and classification algorithm to distinguish spam URLs from the really popular ones. Comparative experiments are conducted on English (Twitter) and Chinese (Sina Weibo) messages. We conclude that more than half of the popular URLs are spam. Most of them are pushed from other websites; even the really popular ones gain much attention from the pushing services. Although the proportions of URLs in Twitter and Sina Weibo messages are different, the characteristics of the spam URLs are similar. Our method is efficient for detecting spam URLs and their authors without annotations, and is helpful for both research and business on microblog.",2376-5933;23765933,Electronic:978-1-61284-204-2; POD:978-1-61284-203-5,10.1109/CCIS.2011.6045021,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6045021,Microblogging;Sina Weibo;Twitter;spam URL;text mining,Classification algorithms;Internet;Robots;Twitter;Unsolicited electronic mail;Videos,Web sites;pattern classification;pattern clustering;unsolicited e-mail,Sina Weibo message;Twitter message;classification algorithm;clustering algorithm;microblog message;microblogging service;spam URL detection,,2,,14,,,15-17 Sept. 2011,,IEEE,IEEE Conference Publications
Modular neural network in the cloud,J. Å_Ã¡Äçek; E. VolnÃ¡; M. JanoÅ¡ek,Centre of Excellence IT4Innovations division of the University of Ostrava,2015 IEEE 10th Jubilee International Symposium on Applied Computational Intelligence and Informatics,20150820,2015,,,553,557,The paper proposes a new approach to implement common neural network algorithms in the cloud. First part of the paper defines the context and describes a usage of cloud computing concept in the robotics. Next part describes layers of the typical cloud service and shows the connection between cloud and legacy robot. Then we introduce a modular neural network concept and explain the topology of the neural network and connection between the physical and the logical architecture. Following part proposes a new architecture of the cloud service that implements a neural network algorithm. Last part shows a case study migration of the typical neural network topology into the cloud with respect to logical and physical topology.,,Electronic:978-1-4799-9911-8; POD:978-1-4799-9912-5; USB:978-1-4799-9910-1,10.1109/SACI.2015.7208265,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7208265,,Cloud computing;Computer architecture;Network topology;Neural networks;Robot sensing systems;Topology,cloud computing;mobile robots;neural nets;topology,cloud computing;cloud service;legacy robot;logical architecture;mobile robot;modular neural network topology,,0,,20,,,21-23 May 2015,,IEEE,IEEE Conference Publications
Backup manager â€” An Android application for storing messages and apps information online,A. Shukla; P. Shrivastava; P. Yadav; A. Kumar,"Department of Information and, Communication Technology, Indian Institute of Information Technology and Management, Indian Institute of Information Technology and Management, Gwalior-474015, India",2015 Global Conference on Communication Technologies (GCCT),20151203,2015,,,45,48,"Essential communication in this fast moving world is always been a major concern. Although we have messengers like gtalk, Facebook, WhatsApp who are a good source of circulating messages but they kind of deviates us from the imperative purpose of communication. There has been no services available which allows us to store important messages and apps information to cloud rather than storing it to phone itself so we can recover them anytime whenever our cell is not with us or gets damage or any mishap. The application we developed provide the functionality to store messages to cloud and anyone anytime can retrieve those messages, provided he/she knows the key. Also, the user can store the apps information installed in device and retrieve them whenever there is a need. Additionally, it can also be effective in case of system failure. This would create a new revolution in smartphone era, where no one will lose his apps and reduce the time of cost related to circulating a particular message among many. This application is highly beneficial in academic institutions and private organization to propagate a message to vast number of people. Message reaches only to those who are actually interested. The main feature of this app is that it doesn't require any sort of registration.",,CD-ROM:978-1-4799-8552-4; Electronic:978-1-4799-8553-1; POD:978-1-4799-8554-8,10.1109/GCCT.2015.7342621,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7342621,Android;Cloud computing;GAE;SHA;smartphone,Androids;Cloud computing;Engines;Humanoid robots;Mobile communication;Servers;Smart phones,cloud computing;mobile computing;storage management,Android application;Backup Manager;apps information storage;cloud storage;message storage;smartphone;system failure,,,,11,,,23-24 April 2015,,IEEE,IEEE Conference Publications
A method to detect Android ad plugins based on decompiled digital sequence,Y. Guo; J. Hou; W. Chen; Q. Li,"Beijing University of Posts and Telecommunications, Beijing, China",2016 4th International Conference on Cloud Computing and Intelligence Systems (CCIS),20161219,2016,,,104,108,"As the Android mobile terminals have become prevalent, an increasing number of developers build Android applications and get benefits from bonus of advertising sharing. However, some mobile advertisements have serious security problems, such as traffic consumption, malicious deduction and privacy leak. White list and semantic analysis are proposed to defect the problem recently. In this paper, we put forward the work further by analyzing the decompiled digital sequence of ad plugins. We select appropriate decompiling tools to decompile the ad plugins to get the Java files that we need. And then we traverse the Java files to count the unique word of each file. The number of the unique word is the digital sequence of the file which could be applied as the feature of machine learning classifier to detect ad plugins. The experimental results show that the decompiled digital sequence has very good performance in terms of detect ad plugins, which cannot only avoid the situation of getting less semantic features, but also solve white list method inadequate.",,CD:978-1-5090-1254-1; Electronic:978-1-5090-1256-5; POD:978-1-5090-1257-2,10.1109/CCIS.2016.7790233,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7790233,Ad Plugins;Classifier;Decompiled Digital Sequence,Androids;Classification algorithms;Feature extraction;Humanoid robots;Java;Semantics;Sequences,Android (operating system);Java;advertising data processing;data privacy;learning (artificial intelligence);pattern classification;security of data,Android ad plugin detection;Android applications;Android mobile terminals;Java files;advertising sharing;decompiled digital sequence;machine learning classifier;malicious deduction;mobile advertisement security problems;privacy leak;semantic features;traffic consumption,,,,,,,17-19 Aug. 2016,,IEEE,IEEE Conference Publications
Flow-sensor mobility and multicast support in Internet of Things' virtualization,A. Mahmud; T. Kanter; R. Rahmani,"Department of Computer and Systems Sciences, Stockholm University, Sweden",2012 International Conference on ICT Convergence (ICTC),20121220,2012,,,16,22,This paper studied communication between sensor groups-access points and a networking & communication model and packet transmission algorithm such that networks are divided into several multicast domains of stationary flow-sensors and received several packet-flows from mobile flow-sensors. The proposed approach to Internet of Things' virtualization is suitable for invoking and multi-tasking sensor networks within random network scenarios ranging from large single operational networks to distinct service networks within the involvement of multiple operational networks. The result implies larger multicast groups perform better than smaller ones whereas large flows of packets decrease the performances from the whole network viewpoint.,2162-1233;21621233,Electronic:978-1-4673-4828-7; POD:978-1-4673-4829-4; USB:978-1-4673-4827-0,10.1109/ICTC.2012.6386768,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6386768,Cloud computing;Flow-sensors;Internet of Things;Multicasting,Data models;Internet;Mobile communication;Network topology;Receivers;Robot sensing systems;Topology,Internet of Things;flow sensors;multicast communication,Internet of Things virtualization;communication model;distinct service network;flow-sensor mobility;invoking sensor network;mobile flow-sensor;multicast group;multicast support;multitasking sensor network;networking model;operational network;packet transmission algorithm;random network scenario;sensor groups-access point;stationary flow-sensor,,2,,23,,,15-17 Oct. 2012,,IEEE,IEEE Conference Publications
EHOPES: Data-centered Fog platform for smart living,J. Li; J. Jin; D. Yuan; M. Palaniswami; K. Moessner,"School of Software and Electrical Engineering, Swinburne University of Technology, VIC 3122, Australia",2015 International Telecommunication Networks and Applications Conference (ITNAC),20160104,2015,,,308,313,"Nowadays, smart environments (e.g., smart home, smart city) are built heavily relying on Cloud computing for the coordination and collaboration among smart objects. Cloud is typically centralized but smart objects are ubiquitously distributed, thus, data transmission latency (i.e., end-to-end delay or response time) between Cloud and smart objects is a critical issue especially to the applications that have strict delay requirements. To address the concern, a new Fog computing paradigm is recently proposed by the industry, while the detailed Fog platform is yet to be developed. The key idea is to bring the computing power from the remote Cloud closer to the users, which further enables real-time interaction and location-based services. In particular, the local processing capability of Fog computing significantly scales down the data volume towards the Cloud, and it in turn has great impacts on the entire Internet. In this paper, a data-centered Fog platform is developed to support smart living together with dataflow analysis. Case studies are also conducted to validate and evaluate the proposed platform.",,Electronic:978-1-4673-9348-5; POD:978-1-4673-9349-2,10.1109/ATNAC.2015.7366831,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7366831,Cloud Computing;Fog Computing;Smart Living,Cloud computing;Medical services;Real-time systems;Robots;Servers,cloud computing;computer centres,EHOPES;Fog computing paradigm;Internet;cloud computing;data transmission latency;data-centered fog platform;dataflow analysis;location-based service;smart living;smart object,,1,,24,,,18-20 Nov. 2015,,IEEE,IEEE Conference Publications
Implementation of cloud service messaging mechanism based on XMPP,Lei Zhengrong; Ding Yunfei; Shi Yang,"Building energy conservation institute, China",2014 IEEE Workshop on Advanced Research and Technology in Industry Applications (WARTIA),20141206,2014,,,278,280,"This paper introduces an implementation of The Extensible Messaging and Presence Protocol (XMPP) based on cloud service message push technology through an instance which explains the implementation procedure. Specifically, Android client establishes XMPP connection and registration through cloud service, the cloud server could actively push messages to user's Android devices based on their demands, which offers better user experience in information service.",,DVD:978-1-4799-6988-3; Electronic:978-1-4799-6989-0; POD:978-1-4799-6990-6,10.1109/WARTIA.2014.6976251,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976251,Android;Cloud Information Service;Cloud Service;Information Push Technology,Androids;Databases;Humanoid robots;Mobile computing;Protocols;Servers;Smart phones,Web services;cloud computing;information services;smart phones,Android client;Android devices;XMPP connection;cloud server;cloud service message push technology;extensible messaging and presence protocol registration;implementation procedure;information service;user experience,,0,,6,,,29-30 Sept. 2014,,IEEE,IEEE Conference Publications
Cloud-based centralized/decentralized multi-agent optimization with communication delays,M. T. Hale; A. NediÄ‡; M. Egerstedt,"School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, 30332, USA",2015 54th IEEE Conference on Decision and Control (CDC),20160211,2015,,,700,705,"We present and analyze a hybrid computational architecture for performing multi-agent optimization. The optimization problems under consideration have convex objective and constraint functions with mild smoothness conditions imposed on them. For such problems, we provide a primal-dual algorithm implemented in the hybrid architecture, which consists of a decentralized network of agents into which an updated dual vector is occasionally injected, and we establish its convergence properties. In this setting, a central cloud computer is responsible for aggregating information, computing dual variable updates, and distributing these updates to the agents. The agents update their (primal) state variables and also communicate among themselves with each agent sharing and receiving state information with some number of its neighbors. Throughout, communications with the cloud are not assumed to be synchronous or instantaneous, and communication delays are explicitly accounted for in the modeling and analysis of the system. Experimental results for a team of robots are presented to support the theoretical developments made.",,CD-ROM:978-1-4799-7884-7; Electronic:978-1-4799-7886-1; POD:978-1-4799-7887-8,10.1109/CDC.2015.7402311,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7402311,,Cloud computing;Computer architecture;Computers;Delays;Optimization;Robots;Synchronization,cloud computing;control engineering computing;multi-robot systems;optimisation,central cloud computer;cloud-based centralized-decentralized multiagent optimization;communication delays;constraint functions;convex objective functions;decentralized agent network;dual variable updates;hybrid architecture;mild smoothness conditions;primal-dual algorithm;robot team;state information;updated dual vector,,2,,21,,,15-18 Dec. 2015,,IEEE,IEEE Conference Publications
